0,1,2,3,4,5,6,7
Ortsübliche Vergleichsmieten (Stichtag 01.09.2023) Netto-Kaltmiete in Euro je Quadratmeter monatlich für vermieterseitig voll,,,,,,,
ausgestattete Wohnungen.,,,,,,,
Zeile,,,,,,,
,Bezugsfertigkeit,,,Wohnfläche,untere Spanne,Mittelwert,obere Spanne
1,,,bis unter,35 m²,"7,19 €",,"14,19 €"
,bis 1918,,,,,"9,87 €",
2,,35 m²,bis unter,40 m²,"6,83 €",,"13,08 €"
,,,,,,"9,08 €",
3,,40 m²,bis unter,45 m²,"6,15 €",,"12,54 €"
,,,,,,"8,52 €",
4,,45 m²,bis unter,55 m²,"6,10 €",,"11,19 €"
,,,,,,"8,02 €",
5,,55 m²,bis unter,60 m²,"6,07 €",,"11,00 €"
,,,,,,"8,42 €",
6,,60 m²,bis unter,90 m²,"5,29 €",,"10,39 €"
,,,,,,"6,96 €",
7,,90 m²,bis unter 105 m²,,"4,93 €",,"9,97 €"
,,,,,,"6,33 €",
8,,,,ab 105 m²,"5,34 €",,"9,02 €"
,,,,,,"6,61 €",
9,,,bis unter,40 m²,"6,50 €",,"10,74 €"
,1919 bis 1949,,,,,"7,96 €",
10,,40 m²,bis unter,60 m²,"5,99 €",,"9,35 €"
,,,,,,"7,03 €",
11,,60 m²,bis unter,90 m²,"5,55 €",,"8,82 €"
,,,,,,"6,54 €",
12,,90 m²,bis unter 105 m²,,"4,93 €",,"9,97 €"
,,,,,,"6,33 €",
13,,,,ab 105 m²,"5,34 €",,"9,02 €"
,,,,,,"6,61 €",
14,,,bis unter,40 m²,"6,50 €",,"10,74 €"
,1950 bis 1964,,,,,"7,96 €",
15,,40 m²,bis unter,60 m²,"5,99 €",,"9,35 €"
,,,,,,"7,03 €",
16,,,ab,60 m²,"5,23 €",,"8,00 €"
,,,,,,"6,20 €",
17,,,bis unter,55 m²,"5,68 €",,"8,58 €"
,1965 bis 1972,,,,,"6,76 €",
18,,55 m²,bis unter,60 m²,"5,37 €",,"7,72 €"
,,,,,,"6,10 €",
19,,,ab,60 m²,"5,22 €",,"7,18 €"
,,,,,,"5,87 €",
20,,,bis unter,55 m²,"5,68 €",,"8,58 €"
,1973 bis 1985 West,,,,,"6,76 €",
21,,55 m²,bis unter,60 m²,"5,37 €",,"7,72 €"
,,,,,,"6,10 €",
22,,60 m²,bis unter,90 m²,"5,77 €",,"8,51 €"
,,,,,,"6,54 €",
23,,,ab,90 m²,"5,24 €",,"9,08 €"
,,,,,,"7,35 €",
24,,,bis unter,55 m²,"6,47 €",,"10,49 €"
,1986 bis 1990 West,,,,,"8,19 €",
25,,55 m²,bis unter,60 m²,"6,48 €",,"11,14 €"
,,,,,,"8,56 €",
26,,60 m²,bis unter,75 m²,"6,27 €",,"9,59 €"
,,,,,,"7,92 €",
27,,75 m²,bis unter,80 m²,"6,89 €",,"9,28 €"
,,,,,,"8,13 €",
28,,80 m²,bis unter,95 m²,"6,67 €",,"9,99 €"
,,,,,,"8,06 €",
29,,,ab,95 m²,"6,59 €",,"9,96 €"
,,,,,,"8,38 €",
,,,,,,,Fortsetzung nächste Seite
Ortsübliche Vergleichsmieten (Stichtag 01.09.2023) Netto-Kaltmiete in Euro je Quadratmeter monatlich für vermieterseitig voll,,,,,,,
ausgestattete Wohnungen.,,,,,,,
Zeile,,,,,,,
,Bezugsfertigkeit,,,Wohnfläche,untere Spanne,Mittelwert,obere Spanne
1,,,bis unter,35 m²,"7,19 €",,"14,19 €"
,bis 1918,,,,,"9,87 €",
2,,35 m²,bis unter,40 m²,"6,83 €",,"13,08 €"
,,,,,,"9,08 €",
3,,40 m²,bis unter,45 m²,"6,15 €",,"12,54 €"
,,,,,,"8,52 €",
4,,45 m²,bis unter,55 m²,"6,10 €",,"11,19 €"
,,,,,,"8,02 €",
5,,55 m²,bis unter,60 m²,"6,07 €",,"11,00 €"
,,,,,,"8,42 €",
6,,60 m²,bis unter,90 m²,"5,29 €",,"10,39 €"
,,,,,,"6,96 €",
7,,90 m²,bis unter 105 m²,,"4,93 €",,"9,97 €"
,,,,,,"6,33 €",
8,,,,ab 105 m²,"5,34 €",,"9,02 €"
,,,,,,"6,61 €",
9,,,bis unter,40 m²,"6,50 €",,"10,74 €"
,1919 bis 1949,,,,,"7,96 €",
10,,40 m²,bis unter,60 m²,"5,99 €",,"9,35 €"
,,,,,,"7,03 €",
11,,60 m²,bis unter,90 m²,"5,55 €",,"8,82 €"
,,,,,,"6,54 €",
12,,90 m²,bis unter 105 m²,,"4,93 €",,"9,97 €"
,,,,,,"6,33 €",
13,,,,ab 105 m²,"5,34 €",,"9,02 €"
,,,,,,"6,61 €",
14,,,bis unter,40 m²,"6,50 €",,"10,74 €"
,1950 bis 1964,,,,,"7,96 €",
15,,40 m²,bis unter,60 m²,"5,99 €",,"9,35 €"
,,,,,,"7,03 €",
16,,,ab,60 m²,"5,23 €",,"8,00 €"
,,,,,,"6,20 €",
17,,,bis unter,55 m²,"5,68 €",,"8,58 €"
,1965 bis 1972,,,,,"6,76 €",
18,,55 m²,bis unter,60 m²,"5,37 €",,"7,72 €"
,,,,,,"6,10 €",
19,,,ab,60 m²,"5,22 €",,"7,18 €"
,,,,,,"5,87 €",
20,,,bis unter,55 m²,"5,68 €",,"8,58 €"
,1973 bis 1985 West,,,,,"6,76 €",
21,,55 m²,bis unter,60 m²,"5,37 €",,"7,72 €"
,,,,,,"6,10 €",
22,,60 m²,bis unter,90 m²,"5,77 €",,"8,51 €"
,,,,,,"6,54 €",
23,,,ab,90 m²,"5,24 €",,"9,08 €"
,,,,,,"7,35 €",
24,,,bis unter,55 m²,"6,47 €",,"10,49 €"
,1986 bis 1990 West,,,,,"8,19 €",
25,,55 m²,bis unter,60 m²,"6,48 €",,"11,14 €"
,,,,,,"8,56 €",
26,,60 m²,bis unter,75 m²,"6,27 €",,"9,59 €"
,,,,,,"7,92 €",
27,,75 m²,bis unter,80 m²,"6,89 €",,"9,28 €"
,,,,,,"8,13 €",
28,,80 m²,bis unter,95 m²,"6,67 €",,"9,99 €"
,,,,,,"8,06 €",
29,,,ab,95 m²,"6,59 €",,"9,96 €"
,,,,,,"8,38 €",
,,,,,,,Fortsetzung nächste Seite
,9.1 Mietspiegeltabelle 2024 – Einfache Wohnlage (Fortsetzung),,,,,,
Zeile,,,,,,,
,Bezugsfertigkeit,,,Wohnfläche,untere Spanne,Mittelwert,obere Spanne
30,,,bis unter,40 m²,"6,66 €",,"8,89 €"
,1973 bis 1990 Ost*,,,,,"7,16 €",
31,,40 m²,bis unter,60 m²,"5,74 €",,"7,28 €"
,,,,,,"6,25 €",
32,,60 m²,bis unter,70 m²,"5,07 €",,"6,06 €"
,,,,,,"5,37 €",
33,,,ab,70 m²,"5,03 €",,"6,11 €"
,,,,,,"5,44 €",
34,,,bis unter,55 m²,"6,47 €",,"10,49 €"
,1991 bis 2001**,,,,,"8,19 €",
35,,55 m²,bis unter,60 m²,"6,48 €",,"11,14 €"
,,,,,,"8,56 €",
36,,60 m²,bis unter,75 m²,"6,27 €",,"9,59 €"
,,,,,,"7,92 €",
37,,75 m²,bis unter,80 m²,"6,89 €",,"9,28 €"
,,,,,,"8,13 €",
38,,80 m²,bis unter,95 m²,"6,67 €",,"9,99 €"
,,,,,,"8,06 €",
39,,,ab,95 m²,"6,59 €",,"9,96 €"
,,,,,,"8,38 €",
40,,,bis unter,55 m²,"6,47 €",,"10,49 €"
,2002 bis 2009,,,,,"8,19 €",
41,,55 m²,bis unter,60 m²,"6,48 €",,"11,14 €"
,,,,,,"8,56 €",
42,,60 m²,bis unter,75 m²,"6,27 €",,"9,59 €"
,,,,,,"7,92 €",
43,,75 m²,bis unter,80 m²,"6,89 €",,"9,28 €"
,,,,,,"8,13 €",
44,,80 m²,bis unter,95 m²,"6,67 €",,"9,99 €"
,,,,,,"8,06 €",
45,,,ab,95 m²,"6,59 €",,"9,96 €"
,,,,,,"8,38 €",
46,,,alle Wohnflächen,,"7,24 €",,"14,48 €"
,2010 bis 2015,,,,,"9,98 €",
47,,,bis unter,60 m²,"7,62 €",,"16,66 €"
,2016 bis 2022,,,,,"12,41 €",
48,,60 m²,bis unter,80 m²,"9,00 €",,"17,43 €"
,,,,,,"11,12 €",
49,,,ab,80 m²,"9,99 €",,"16,55 €"
,,,,,,"12,48 €",
*  Mit Wendewohnungen. Die Zuordnung West-Staakens basiert auf dem Gebietsstand 02.10.1990.,,,,,,,
,9.2 Mietspiegeltabelle 2024 – Mittlere Wohnlage (Fortsetzung),,,,,,
Zeile,,,,,,,
,Bezugsfertigkeit,,,Wohnfläche,untere Spanne,Mittelwert,obere Spanne
64,,65 m²,bis unter,75 m²,"5,69 €",,"8,41 €"
,,,,,,"6,65 €",
65,,,ab,75 m²,"5,79 €",,"10,00 €"
,,,,,,"6,96 €",
66,,,bis unter,35 m²,"6,11 €",,"11,49 €"
,1950 bis 1964,,,,,"7,94 €",
67,,35 m²,bis unter,40 m²,"6,25 €",,"9,56 €"
,,,,,,"7,53 €",
68,,40 m²,bis unter,45 m²,"5,88 €",,"9,06 €"
,,,,,,"7,07 €",
69,,,ab,45 m²,"5,73 €",,"8,86 €"
,,,,,,"6,60 €",
70,,,bis unter,35 m²,"6,57 €",,"14,03 €"
,1965 bis 1972,,,,,"7,36 €",
71,,35 m²,bis unter,40 m²,"6,45 €",,"9,73 €"
,,,,,,"7,21 €",
72,,40 m²,bis unter,45 m²,"5,88 €",,"9,06 €"
,,,,,,"7,07 €",
73,,,ab,45 m²,"5,36 €",,"8,41 €"
,,,,,,"6,13 €",
74,,,bis unter,35 m²,"6,57 €",,"14,03 €"
,1973 bis 1985 West,,,,,"7,36 €",
75,,35 m²,bis unter,40 m²,"6,45 €",,"9,73 €"
,,,,,,"7,21 €",
76,,40 m²,bis unter,45 m²,"5,88 €",,"9,06 €"
,,,,,,"7,07 €",
77,,45 m²,bis unter,75 m²,"6,32 €",,"10,64 €"
,,,,,,"8,18 €",
78,,,ab,75 m²,"6,44 €",,"10,10 €"
,,,,,,"7,85 €",
79,,,bis unter,50 m²,"8,00 €",,"12,34 €"
,1986 bis 1990 West,,,,,"9,26 €",
80,,50 m²,bis unter,55 m²,"7,17 €",,"10,69 €"
,,,,,,"8,87 €",
81,,55 m²,bis unter,60 m²,"8,00 €",,"11,05 €"
,,,,,,"9,27 €",
82,,60 m²,bis unter,70 m²,"7,87 €",,"11,46 €"
,,,,,,"9,11 €",
83,,70 m²,bis unter,75 m²,"6,89 €",,"9,98 €"
,,,,,,"8,57 €",
84,,75 m²,bis unter,85 m²,"7,52 €",,"10,04 €"
,,,,,,"8,86 €",
85,,85 m²,bis unter,90 m²,"6,55 €",,"10,43 €"
,,,,,,"8,68 €",
86,,90 m²,bis unter 100 m²,,"6,24 €",,"9,94 €"
,,,,,,"8,99 €",
87,,,,ab 100 m²,"7,21 €",,"11,28 €"
,,,,,,"9,12 €",
88,,,bis unter,40 m²,"6,41 €",,"8,60 €"
,1973 bis 1990 Ost*,,,,,"7,13 €",
89,,40 m²,bis unter,60 m²,"5,59 €",,"6,82 €"
,,,,,,"6,09 €",
90,,60 m²,bis unter,65 m²,"4,99 €",,"6,44 €"
,,,,,,"5,37 €",
91,,,ab,65 m²,"4,95 €",,"6,35 €"
,,,,,,"5,43 €",
92,,,bis unter,50 m²,"8,00 €",,"12,34 €"
,1991 bis 2001**,,,,,"9,26 €",
93,,50 m²,bis unter,55 m²,"7,17 €",,"10,69 €"
,,,,,,"8,87 €",
94,,55 m²,bis unter,60 m²,"8,00 €",,"11,05 €"
,,,,,,"9,27 €",
95,,60 m²,bis unter,70 m²,"7,87 €",,"11,46 €"
,,,,,,"9,11 €",
96,,70 m²,bis unter,75 m²,"6,89 €",,"9,98 €"
,,,,,,"8,57 €",
97,,75 m²,bis unter,85 m²,"7,52 €",,"10,04 €"
,,,,,,"8,86 €",
98,,85 m²,bis unter,90 m²,"6,55 €",,"10,43 €"
,,,,,,"8,68 €",
99,,90 m²,bis unter 100 m²,,"6,24 €",,"9,94 €"
,,,,,,"8,99 €",
100,,,,ab 100 m²,"7,21 €",,"11,28 €"
,,,,,,"9,12 €",
*  Mit Wendewohnungen. Die Zuordnung West-Staakens basiert auf dem Gebietsstand 02.10.1990.,,,,,,,
9.2 Mietspiegeltabelle 2024 – Mittlere Wohnlage (Fortsetzung),,,,,,,
Zeile,,,,,,,
,Bezugsfertigkeit,,,Wohnfläche,untere Spanne,Mittelwert,obere Spanne
101,,,bis unter,50 m²,"8,00 €",,"12,34 €"
,2002 bis 2009,,,,,"9,26 €",
102,,50 m²,bis unter,55 m²,"7,17 €",,"10,69 €"
,,,,,,"8,87 €",
103,,55 m²,bis unter,60 m²,"8,00 €",,"11,05 €"
,,,,,,"9,27 €",
104,,60 m²,bis unter,70 m²,"7,87 €",,"11,46 €"
,,,,,,"9,11 €",
105,,70 m²,bis unter,75 m²,"6,89 €",,"9,98 €"
,,,,,,"8,57 €",
106,,75 m²,bis unter,85 m²,"7,52 €",,"10,04 €"
,,,,,,"8,86 €",
107,,85 m²,bis unter,90 m²,"6,55 €",,"10,43 €"
,,,,,,"8,68 €",
108,,90 m²,bis unter 100 m²,,"6,24 €",,"9,94 €"
,,,,,,"8,99 €",
109,,,,ab 100 m²,"7,21 €",,"11,28 €"
,,,,,,"9,12 €",
110,,,bis unter,70 m²,"8,18 €",,"16,75 €"
,2010 bis 2015,,,,,"10,76 €",
111,,70 m²,bis unter,95 m²,"8,92 €",,"16,11 €"
,,,,,,"12,05 €",
112,,,ab,95 m²,"9,20 €",,"15,19 €"
,,,,,,"12,77 €",
113,,,bis unter,55 m²,"10,22 €",,"21,93 €"
,2016 bis 2022,,,,,"14,44 €",
114,,55 m²,bis unter,65 m²,"10,07 €",,"19,24 €"
,,,,,,"12,97 €",
115,,65 m²,bis unter,75 m²,"9,77 €",,"17,75 €"
,,,,,,"12,10 €",
116,,75 m²,bis unter,90 m²,"10,06 €",,"18,55 €"
,,,,,,"13,82 €",
117,,,ab,90 m²,"10,07 €",,"18,04 €"
,,,,,,"14,41 €",
,9.3 Mietspiegeltabelle 2024 – Gute Wohnlage (Fortsetzung),,,,,,
Zeile,,,,,,,
,Bezugsfertigkeit,,Wohnfläche,untere Spanne,Mittelwert,obere Spanne,
136,,,"bis unter
75 m²","7,27 €",,"11,98 €",
,1973 bis 1985 West,,,,"9,42 €",,
137,,75 m²,"bis unter
85 m²","7,51 €",,"11,79 €",
,,,,,"9,25 €",,
138,,85 m²,bis unter 105 m²,"7,94 €",,"13,32 €",
,,,,,"9,79 €",,
139,,105 m²,bis unter 120 m²,"8,55 €",,"13,41 €",
,,,,,"10,65 €",,
140,,,ab 120 m²,"6,95 €",,"13,02 €",
,,,,,"10,08 €",,
141,,,"bis unter
75 m²","8,35 €",,"12,91 €",
,1986 bis 1990 West,,,,"10,15 €",,
142,,75 m²,"bis unter
85 m²","7,51 €",,"11,79 €",
,,,,,"9,25 €",,
143,,85 m²,bis unter 105 m²,"7,94 €",,"13,32 €",
,,,,,"9,79 €",,
144,,105 m²,bis unter 120 m²,"8,55 €",,"13,41 €",
,,,,,"10,65 €",,
145,,,ab 120 m²,"6,95 €",,"13,02 €",
,,,,,"10,08 €",,
146,,,"bis unter
45 m²","6,11 €",,"8,48 €",
,1973 bis 1990 Ost*,,,,"6,97 €",,
147,,45 m²,"bis unter
60 m²","5,83 €",,"8,54 €",
,,,,,"6,46 €",,
148,,60 m²,"bis unter
75 m²","5,16 €",,"8,51 €",
,,,,,"5,68 €",,
149,,,"ab
75 m²","5,08 €",,"6,47 €",
,,,,,"5,72 €",,
150,,,"bis unter
75 m²","8,35 €",,"12,91 €",
,1991 bis 2001**,,,,"10,15 €",,
151,,75 m²,"bis unter
85 m²","7,51 €",,"11,79 €",
,,,,,"9,25 €",,
152,,85 m²,bis unter 105 m²,"7,94 €",,"13,32 €",
,,,,,"9,79 €",,
153,,105 m²,bis unter 120 m²,"8,55 €",,"13,41 €",
,,,,,"10,65 €",,
154,,,ab 120 m²,"6,95 €",,"13,02 €",
,,,,,"10,08 €",,
155,,,bis unter 105 m²,"7,97 €",,"15,50 €",
,2002 bis 2009,,,,"11,04 €",,
156,,,ab 105 m²,"9,58 €",,"15,34 €",
,,,,,"12,12 €",,
157,,,"bis unter
85 m²","10,24 €",,"17,56 €",
,2010 bis 2015,,,,"13,79 €",,
158,,,"ab
85 m²","11,89 €",,"17,34 €",
,,,,,"14,40 €",,
159,,,"bis unter
50 m²","11,41 €",,"24,74 €",
,2016 bis 2022,,,,"17,72 €",,
160,,50 m²,"bis unter
65 m²","10,50 €",,"23,84 €",
,,,,,"16,80 €",,
161,,65 m²,"bis unter
85 m²","11,21 €",,"19,93 €",
,,,,,"15,58 €",,
162,,85 m²,bis unter 100 m²,"13,69 €",,"20,74 €",
,,,,,"17,51 €",,
163,,,ab 100 m²,"12,22 €",,"18,47 €",
,,,,,"16,07 €",,
*  Mit Wendewohnungen. Die Zuordnung West-Staakens basiert auf dem Gebietsstand 02.10.1990.,,,,,,,
